ticks,pid,priority,pticks
25,3,2,9
26,3,3,0
27,3,3,1
28,3,3,2
29,3,3,3
30,3,3,4
31,3,3,5
32,3,3,6
33,3,3,7
34,3,3,8
35,3,3,9
36,3,3,10
37,3,3,11
38,3,3,12
39,3,3,13
40,3,3,14
41,3,3,15
42,3,3,16
43,3,3,17
44,3,3,18
45,3,3,19
46,3,3,20
47,3,3,21
48,3,3,22
49,3,3,23
50,3,3,24
51,3,3,25
52,3,3,26
53,3,3,27
54,3,3,28
55,3,3,29
56,3,3,30
57,3,3,31
58,3,3,32
59,3,3,33
60,3,3,34
61,3,3,35
62,3,3,36
63,3,3,37
64,3,3,38
65,3,3,39
66,3,3,40
67,3,3,41
68,3,3,42
69,3,3,43
70,3,3,44
71,3,3,45
72,3,3,46
73,3,3,47
74,3,3,48
75,3,3,49
76,3,3,50
77,3,3,51
78,3,3,52
79,3,3,53
80,3,3,54
81,3,3,55
82,3,3,56
83,4,0,0
84,4,0,1
85,4,0,2
86,4,0,3
87,4,0,4
88,4,1,0
89,4,1,1
90,4,1,2
91,4,1,3
92,4,1,4
93,4,2,0
94,4,2,1
95,4,2,2
96,4,2,3
97,4,2,4
98,4,2,5
99,4,2,6
100,4,2,7
101,4,2,8
102,4,2,9
