ticks,pid,priority,pticks
16,3,1,3
17,3,1,4
18,3,2,0
19,3,2,1
20,3,2,2
21,3,2,3
22,3,2,4
23,3,2,5
24,3,2,6
25,3,2,7
26,3,2,8
27,3,2,9
28,3,3,0
29,3,3,1
30,3,3,2
31,3,3,3
32,3,3,4
33,3,3,5
34,3,3,6
35,3,3,7
36,3,3,8
37,3,3,9
38,3,3,10
39,3,3,11
40,3,3,12
41,3,3,13
42,3,3,14
43,3,3,15
44,3,3,16
45,3,3,17
46,3,3,18
47,3,3,19
48,3,3,20
49,3,3,21
50,3,3,22
51,3,3,23
52,3,3,24
53,3,3,25
54,3,3,26
55,3,3,27
56,3,3,28
57,3,3,29
58,3,3,30
59,3,3,31
60,3,3,32
61,3,3,33
62,3,3,34
63,3,3,35
64,3,3,36
65,3,3,37
66,3,3,38
67,3,3,39
68,3,3,40
69,3,3,41
70,3,3,42
71,3,3,43
72,3,3,44
73,3,3,45
74,3,3,46
75,3,3,47
76,3,3,48
77,3,3,49
78,3,3,50
79,3,3,51
80,3,3,52
81,3,3,53
82,3,3,54
83,3,3,55
84,3,3,56
85,3,3,57
86,3,3,58
87,3,3,59
88,3,3,60
89,3,3,61
90,3,3,62
91,3,3,63
92,3,3,64
93,3,3,65
94,3,3,66
95,3,3,67
96,3,3,68
97,3,3,69
98,3,3,70
99,3,3,71
100,3,3,72
101,3,3,73
102,3,3,74
103,3,3,75
104,3,3,76
105,3,3,77
106,3,3,78
107,3,3,79
108,3,3,80
109,3,3,81
110,3,3,82
111,4,0,0
112,4,0,1
113,4,0,2
114,4,0,3
115,4,0,4
116,5,0,0
117,4,1,0
118,5,0,1
119,4,1,1
120,5,0,2
121,4,1,2
122,5,0,3
123,4,1,3
124,5,0,4
125,4,1,4
126,6,0,0
127,5,1,0
128,6,0,1
129,4,2,0
130,5,1,1
131,6,0,2
132,4,2,1
133,5,1,2
134,6,0,3
135,4,2,2
136,5,1,3
137,6,0,4
138,4,2,3
139,5,1,4
140,7,0,0
141,4,2,4
142,6,1,0
143,7,0,1
144,4,2,5
145,5,2,0
146,6,1,1
147,7,0,2
148,4,2,6
149,5,2,1
150,6,1,2
151,7,0,3
152,4,2,7
153,5,2,2
154,6,1,3
155,7,0,4
156,4,2,8
157,5,2,3
158,6,1,4
159,4,2,9
160,5,2,4
161,7,1,0
162,5,2,5
163,6,2,0
164,7,1,1
165,5,2,6
166,6,2,1
167,7,1,2
168,5,2,7
169,6,2,2
170,7,1,3
171,5,2,8
172,6,2,3
173,7,1,4
174,5,2,9
175,6,2,4
176,6,2,5
177,7,2,0
178,6,2,6
179,7,2,1
180,6,2,7
181,7,2,2
182,6,2,8
183,7,2,3
184,6,2,9
185,7,2,4
186,7,2,5
187,7,2,6
188,7,2,7
189,7,2,8
190,7,2,9
191,4,3,0
192,4,3,1
193,4,3,2
194,4,3,3
195,4,3,4
196,4,3,5
197,4,3,6
198,4,3,7
199,4,3,8
200,4,3,9
201,4,3,10
202,4,3,11
203,4,3,12
204,4,3,13
205,4,3,14
206,4,3,15
207,4,3,16
208,4,3,17
209,4,3,18
210,4,3,19
211,5,3,0
212,5,3,1
213,5,3,2
214,5,3,3
215,5,3,4
216,5,3,5
217,5,3,6
218,5,3,7
219,5,3,8
220,5,3,9
221,5,3,10
222,5,3,11
223,5,3,12
224,5,3,13
225,5,3,14
226,5,3,15
227,5,3,16
228,5,3,17
229,5,3,18
230,5,3,19
231,6,3,0
232,6,3,1
233,6,3,2
234,6,3,3
235,6,3,4
236,6,3,5
237,6,3,6
238,6,3,7
239,6,3,8
240,6,3,9
241,6,3,10
242,6,3,11
243,6,3,12
244,6,3,13
245,6,3,14
246,6,3,15
247,6,3,16
248,6,3,17
249,6,3,18
250,6,3,19
251,7,3,0
252,7,3,1
253,7,3,2
254,7,3,3
255,7,3,4
256,7,3,5
257,7,3,6
258,7,3,7
259,7,3,8
260,7,3,9
261,7,3,10
262,7,3,11
263,7,3,12
264,7,3,13
265,7,3,14
266,7,3,15
267,7,3,16
268,7,3,17
269,7,3,18
270,7,3,19
271,7,3,20
272,7,3,21
273,7,3,22
274,7,3,23
275,7,3,24
276,7,3,25
277,7,3,26
278,7,3,27
279,7,3,28
280,7,3,29
281,7,3,30
282,7,3,31
283,7,3,32
284,7,3,33
285,7,3,34
286,7,3,35
287,7,3,36
288,7,3,37
289,7,3,38
290,7,3,39
291,4,3,20
292,4,3,21
293,4,3,22
294,4,3,23
295,4,3,24
296,4,3,25
297,4,3,26
298,4,3,27
299,4,3,28
300,4,3,29
301,4,3,30
302,4,3,31
303,4,3,32
304,4,3,33
305,4,3,34
306,4,3,35
307,4,3,36
308,4,3,37
309,4,3,38
310,4,3,39
311,5,3,20
312,5,3,21
313,5,3,22
314,5,3,23
315,5,3,24
316,5,3,25
317,5,3,26
318,5,3,27
319,5,3,28
320,5,3,29
321,5,3,30
322,5,3,31
323,5,3,32
324,5,3,33
325,5,3,34
326,5,3,35
327,5,3,36
328,5,3,37
329,5,3,38
330,5,3,39
331,6,3,20
332,6,3,21
333,6,3,22
334,6,3,23
335,6,3,24
336,6,3,25
337,6,3,26
338,6,3,27
339,6,3,28
340,6,3,29
341,6,3,30
342,6,3,31
343,6,3,32
344,6,3,33
345,6,3,34
346,6,3,35
347,6,3,36
348,6,3,37
349,6,3,38
350,6,3,39
351,7,3,40
352,7,3,41
353,7,3,42
354,7,3,43
355,7,3,44
356,7,3,45
357,7,3,46
358,7,3,47
359,7,3,48
360,7,3,49
361,7,3,50
362,7,3,51
363,7,3,52
364,7,3,53
365,7,3,54
366,7,3,55
367,7,3,56
368,7,3,57
369,7,3,58
370,7,3,59
371,7,3,60
372,7,3,61
373,7,3,62
374,7,3,63
375,7,3,64
376,7,3,65
377,7,3,66
378,7,3,67
379,7,3,68
380,7,3,69
381,7,3,70
382,7,3,71
383,7,3,72
384,7,3,73
385,7,3,74
386,7,3,75
387,7,3,76
388,7,3,77
389,7,3,78
390,7,3,79
391,4,3,40
392,4,3,41
393,4,3,42
394,4,3,43
395,4,3,44
396,4,3,45
397,4,3,46
398,4,3,47
399,4,3,48
400,4,3,49
401,4,3,50
402,4,3,51
403,4,3,52
404,4,3,53
405,4,3,54
406,4,3,55
407,4,3,56
408,4,3,57
409,4,3,58
410,4,3,59
411,5,3,40
412,5,3,41
413,5,3,42
414,5,3,43
415,5,3,44
416,5,3,45
417,5,3,46
418,5,3,47
419,5,3,48
420,5,3,49
421,5,3,50
422,5,3,51
423,5,3,52
424,5,3,53
425,5,3,54
426,5,3,55
427,5,3,56
428,5,3,57
429,5,3,58
430,5,3,59
431,6,3,40
432,6,3,41
433,6,3,42
434,6,3,43
435,6,3,44
436,6,3,45
437,6,3,46
438,6,3,47
439,6,3,48
440,6,3,49
441,6,3,50
442,6,3,51
443,6,3,52
444,6,3,53
445,6,3,54
446,6,3,55
447,6,3,56
448,6,3,57
449,6,3,58
450,6,3,59
451,7,3,80
452,7,3,81
453,7,3,82
454,7,3,83
455,7,3,84
456,7,3,85
457,7,3,86
458,7,3,87
459,7,3,88
460,7,3,89
461,7,3,90
462,7,3,91
463,7,3,92
464,7,3,93
465,7,3,94
466,7,3,95
467,7,3,96
468,7,3,97
469,7,3,98
470,7,3,99
471,7,3,100
472,7,3,101
473,7,3,102
474,7,3,103
475,7,3,104
476,7,3,105
477,7,3,106
478,7,3,107
479,7,3,108
480,7,3,109
481,7,3,110
482,7,3,111
483,7,3,112
484,7,3,113
485,7,3,114
486,7,3,115
487,7,3,116
488,7,3,117
489,7,3,118
490,7,3,119
491,4,3,60
492,4,3,61
493,4,3,62
494,4,3,63
495,4,3,64
496,4,3,65
497,4,3,66
498,4,3,67
499,4,3,68
500,4,3,69
501,4,3,70
502,4,3,71
503,4,3,72
504,4,3,73
505,4,3,74
506,4,3,75
507,4,3,76
508,4,3,77
509,4,3,78
510,4,3,79
511,5,3,60
512,5,3,61
513,5,3,62
514,5,3,63
515,5,3,64
516,5,3,65
517,5,3,66
518,5,3,67
519,5,3,68
520,5,3,69
521,5,3,70
522,5,3,71
523,5,3,72
524,5,3,73
525,5,3,74
526,5,3,75
527,5,3,76
528,5,3,77
529,5,3,78
530,5,3,79
531,6,3,60
532,6,3,61
533,6,3,62
534,6,3,63
535,6,3,64
536,6,3,65
537,6,3,66
538,6,3,67
539,6,3,68
540,6,3,69
541,6,3,70
542,6,3,71
543,6,3,72
544,6,3,73
545,6,3,74
546,6,3,75
547,6,3,76
548,6,3,77
549,6,3,78
550,6,3,79
551,7,3,120
552,7,3,121
553,7,3,122
554,7,3,123
555,7,3,124
556,7,3,125
557,7,3,126
558,7,3,127
559,7,3,128
560,7,3,129
561,7,3,130
562,7,3,131
563,7,3,132
564,7,3,133
565,7,3,134
566,7,3,135
567,7,3,136
568,7,3,137
569,7,3,138
570,7,3,139
571,7,3,140
572,7,3,141
573,7,3,142
574,7,3,143
575,7,3,144
576,7,3,145
577,7,3,146
578,7,3,147
579,7,3,148
580,7,3,149
581,7,3,150
582,7,3,151
583,7,3,152
584,7,3,153
585,7,3,154
586,7,3,155
587,7,3,156
588,7,3,157
589,7,3,158
590,7,3,159
591,4,3,80
592,4,3,81
593,4,3,82
594,4,3,83
595,4,3,84
596,4,3,85
597,4,3,86
598,4,3,87
599,4,3,88
600,4,3,89
601,4,3,90
602,4,3,91
603,4,3,92
604,4,3,93
605,4,3,94
606,4,3,95
607,4,3,96
608,4,3,97
609,4,3,98
610,4,3,99
611,5,3,80
612,5,3,81
613,5,3,82
614,5,3,83
615,5,3,84
616,5,3,85
617,5,3,86
618,5,3,87
619,5,3,88
620,5,3,89
621,5,3,90
622,5,3,91
623,5,3,92
624,5,3,93
625,5,3,94
626,5,3,95
627,5,3,96
628,5,3,97
629,5,3,98
630,5,3,99
631,6,3,80
632,6,3,81
633,6,3,82
634,6,3,83
635,6,3,84
636,6,3,85
637,6,3,86
638,6,3,87
639,6,3,88
640,6,3,89
641,6,3,90
642,6,3,91
643,6,3,92
644,6,3,93
645,6,3,94
646,6,3,95
647,6,3,96
648,6,3,97
649,6,3,98
650,6,3,99
651,7,3,160
652,7,3,161
653,7,3,162
654,7,3,163
655,7,3,164
656,7,3,165
657,7,3,166
658,7,3,167
659,7,3,168
660,7,3,169
661,7,3,170
662,7,3,171
663,7,3,172
664,7,3,173
665,7,3,174
666,7,3,175
667,7,3,176
668,7,3,177
669,7,3,178
670,7,3,179
671,7,3,180
672,7,3,181
673,7,3,182
674,7,3,183
675,7,3,184
676,7,3,185
677,7,3,186
678,7,3,187
679,7,3,188
680,7,3,189
681,7,3,190
682,7,3,191
683,7,3,192
684,7,3,193
685,7,3,194
686,7,3,195
687,7,3,196
688,7,3,197
689,7,3,198
690,7,3,199
691,4,3,100
692,4,3,101
693,4,3,102
694,4,3,103
695,4,3,104
696,4,3,105
697,4,3,106
698,4,3,107
699,4,3,108
700,4,3,109
701,4,3,110
702,4,3,111
703,4,3,112
704,4,3,113
705,4,3,114
706,4,3,115
707,4,3,116
708,4,3,117
709,4,3,118
710,4,3,119
711,5,3,100
712,5,3,101
713,5,3,102
714,5,3,103
715,5,3,104
716,5,3,105
717,5,3,106
718,5,3,107
719,5,3,108
720,5,3,109
721,5,3,110
722,5,3,111
723,5,3,112
724,5,3,113
725,5,3,114
726,5,3,115
727,5,3,116
728,5,3,117
729,5,3,118
730,5,3,119
731,6,3,100
732,6,3,101
733,6,3,102
734,6,3,103
735,6,3,104
736,6,3,105
737,6,3,106
738,6,3,107
739,6,3,108
740,6,3,109
741,6,3,110
742,6,3,111
743,6,3,112
744,6,3,113
745,6,3,114
746,6,3,115
747,6,3,116
748,6,3,117
749,6,3,118
750,6,3,119
751,7,3,200
752,7,3,201
753,7,3,202
754,7,3,203
755,7,3,204
756,7,3,205
757,7,3,206
758,7,3,207
759,7,3,208
760,7,3,209
761,7,3,210
762,7,3,211
763,7,3,212
764,7,3,213
765,7,3,214
766,7,3,215
767,7,3,216
768,7,3,217
769,7,3,218
770,7,3,219
771,7,3,220
772,7,3,221
773,7,3,222
774,7,3,223
775,7,3,224
776,7,3,225
777,7,3,226
778,7,3,227
779,7,3,228
780,7,3,229
781,7,3,230
782,7,3,231
783,7,3,232
784,7,3,233
785,7,3,234
786,7,3,235
787,7,3,236
788,7,3,237
789,7,3,238
790,7,3,239
791,4,3,120
792,4,3,121
793,4,3,122
794,4,3,123
795,4,3,124
796,4,3,125
797,4,3,126
798,4,3,127
799,4,3,128
800,4,3,129
801,4,3,130
802,4,3,131
803,4,3,132
804,4,3,133
805,4,3,134
806,4,3,135
807,4,3,136
808,4,3,137
809,4,3,138
810,4,3,139
811,5,3,120
812,5,3,121
813,5,3,122
814,5,3,123
815,5,3,124
816,5,3,125
817,5,3,126
818,5,3,127
819,5,3,128
820,5,3,129
821,5,3,130
822,5,3,131
823,5,3,132
824,5,3,133
825,5,3,134
826,5,3,135
827,5,3,136
828,5,3,137
829,5,3,138
830,5,3,139
831,6,3,120
832,6,3,121
833,6,3,122
834,6,3,123
835,6,3,124
836,6,3,125
837,6,3,126
838,6,3,127
839,6,3,128
840,6,3,129
841,6,3,130
842,6,3,131
843,6,3,132
844,6,3,133
845,6,3,134
846,6,3,135
847,6,3,136
848,6,3,137
849,6,3,138
850,6,3,139
851,7,3,240
852,7,3,241
853,7,3,242
854,7,3,243
855,7,3,244
856,7,3,245
857,7,3,246
858,7,3,247
859,7,3,248
860,7,3,249
861,7,3,250
862,7,3,251
863,7,3,252
864,7,3,253
865,7,3,254
866,7,3,255
867,7,3,256
868,7,3,257
869,7,3,258
870,7,3,259
871,7,3,260
872,7,3,261
873,7,3,262
874,7,3,263
875,7,3,264
876,7,3,265
877,7,3,266
878,7,3,267
879,7,3,268
880,7,3,269
881,7,3,270
882,7,3,271
883,7,3,272
884,7,3,273
885,7,3,274
886,7,3,275
887,7,3,276
888,7,3,277
889,7,3,278
890,7,3,279
891,4,3,140
892,4,3,141
893,4,3,142
894,4,3,143
895,4,3,144
896,4,3,145
897,4,3,146
898,4,3,147
899,4,3,148
900,4,3,149
901,4,3,150
902,4,3,151
903,4,3,152
904,4,3,153
905,4,3,154
906,4,3,155
907,4,3,156
908,4,3,157
909,4,3,158
910,4,3,159
911,5,3,140
912,5,3,141
913,5,3,142
914,5,3,143
915,5,3,144
916,5,3,145
917,5,3,146
918,5,3,147
919,5,3,148
920,5,3,149
921,5,3,150
922,5,3,151
923,5,3,152
924,5,3,153
925,5,3,154
926,5,3,155
927,5,3,156
928,5,3,157
929,5,3,158
930,5,3,159
931,6,3,140
932,6,3,141
933,6,3,142
934,6,3,143
935,6,3,144
936,6,3,145
937,6,3,146
938,6,3,147
939,6,3,148
940,6,3,149
941,6,3,150
942,6,3,151
943,6,3,152
944,6,3,153
945,6,3,154
946,6,3,155
947,6,3,156
948,6,3,157
949,6,3,158
950,6,3,159
951,7,3,280
952,7,3,281
953,7,3,282
954,7,3,283
955,7,3,284
956,7,3,285
957,7,3,286
958,7,3,287
959,7,3,288
960,7,3,289
961,7,3,290
962,7,3,291
963,7,3,292
964,7,3,293
965,7,3,294
966,7,3,295
967,7,3,296
968,7,3,297
969,7,3,298
970,7,3,299
971,7,3,300
972,7,3,301
973,7,3,302
974,7,3,303
975,7,3,304
976,7,3,305
977,7,3,306
978,7,3,307
979,7,3,308
980,7,3,309
981,7,3,310
982,7,3,311
983,7,3,312
984,7,3,313
985,7,3,314
986,7,3,315
987,7,3,316
988,7,3,317
989,7,3,318
990,7,3,319
991,4,3,160
992,4,3,161
993,4,3,162
994,4,3,163
995,4,3,164
996,4,3,165
997,4,3,166
998,4,3,167
999,4,3,168
1000,4,3,169
1001,4,3,170
1002,4,3,171
1003,4,3,172
1004,4,3,173
1005,4,3,174
1006,4,3,175
1007,4,3,176
1008,4,3,177
1009,4,3,178
1010,4,3,179
1011,5,3,160
1012,5,3,161
1013,5,3,162
1014,5,3,163
1015,5,3,164
1016,5,3,165
1017,5,3,166
1018,5,3,167
1019,5,3,168
1020,5,3,169
1021,5,3,170
1022,5,3,171
1023,5,3,172
1024,5,3,173
1025,5,3,174
1026,5,3,175
1027,5,3,176
1028,5,3,177
1029,5,3,178
1030,5,3,179
1031,6,3,160
1032,6,3,161
1033,6,3,162
1034,6,3,163
1035,6,3,164
1036,6,3,165
1037,6,3,166
1038,6,3,167
1039,6,3,168
1040,6,3,169
1041,6,3,170
1042,6,3,171
1043,6,3,172
1044,6,3,173
1045,6,3,174
1046,6,3,175
1047,6,3,176
1048,6,3,177
1049,6,3,178
1050,6,3,179
1051,7,3,320
1052,7,3,321
1053,7,3,322
1054,7,3,323
1055,7,3,324
1056,7,3,325
1057,7,3,326
1058,7,3,327
1059,7,3,328
1060,7,3,329
1061,7,3,330
1062,7,3,331
1063,7,3,332
1064,7,3,333
1065,7,3,334
1066,7,3,335
1067,7,3,336
1068,7,3,337
1069,7,3,338
1070,7,3,339
1071,4,3,180
1072,4,3,181
1073,4,3,182
1074,4,3,183
1075,4,3,184
1076,4,3,185
1077,4,3,186
1078,4,3,187
1079,4,3,188
1080,4,3,189
1081,4,3,190
1082,4,3,191
1083,4,3,192
1084,4,3,193
1085,4,3,194
1086,4,3,195
1087,4,3,196
1088,4,3,197
1089,4,3,198
1090,4,3,199
1091,5,3,180
1092,5,3,181
1093,5,3,182
1094,5,3,183
1095,5,3,184
1096,5,3,185
1097,5,3,186
1098,5,3,187
1099,5,3,188
1100,5,3,189
1101,5,3,190
1102,5,3,191
1103,5,3,192
1104,5,3,193
1105,5,3,194
1106,5,3,195
1107,5,3,196
1108,5,3,197
1109,5,3,198
1110,5,3,199
1111,6,3,180
1112,6,3,181
1113,6,3,182
1114,6,3,183
1115,6,3,184
1116,6,3,185
1117,6,3,186
1118,6,3,187
1119,6,3,188
1120,6,3,189
1121,6,3,190
1122,6,3,191
1123,6,3,192
1124,6,3,193
1125,6,3,194
1126,6,3,195
1127,6,3,196
1128,6,3,197
1129,6,3,198
1130,6,3,199
1131,7,3,340
1132,7,3,341
1133,7,3,342
1134,7,3,343
1135,7,3,344
1136,7,3,345
1137,7,3,346
1138,7,3,347
1139,7,3,348
1140,7,3,349
1141,7,3,350
1142,7,3,351
1143,7,3,352
1144,7,3,353
1145,7,3,354
1146,7,3,355
1147,7,3,356
1148,7,3,357
1149,7,3,358
1150,7,3,359
1151,4,3,200
1152,4,3,201
1153,4,3,202
1154,4,3,203
1155,4,3,204
1156,4,3,205
1157,4,3,206
1158,4,3,207
1159,4,3,208
1160,4,3,209
1161,4,3,210
1162,4,3,211
1163,4,3,212
1164,4,3,213
1165,4,3,214
1166,4,3,215
1167,4,3,216
1168,4,3,217
1169,4,3,218
1170,4,3,219
1171,5,3,200
1172,5,3,201
1173,5,3,202
1174,5,3,203
1175,5,3,204
1176,5,3,205
1177,5,3,206
1178,5,3,207
1179,5,3,208
1180,5,3,209
1181,5,3,210
1182,5,3,211
1183,5,3,212
1184,5,3,213
1185,5,3,214
1186,5,3,215
1187,5,3,216
1188,5,3,217
1189,5,3,218
1190,5,3,219
1191,6,3,200
1192,6,3,201
1193,6,3,202
1194,6,3,203
1195,6,3,204
1196,6,3,205
1197,6,3,206
1198,6,3,207
1199,6,3,208
1200,6,3,209
1201,6,3,210
1202,6,3,211
1203,6,3,212
1204,6,3,213
1205,6,3,214
1206,6,3,215
1207,6,3,216
1208,6,3,217
1209,6,3,218
1210,6,3,219
1211,7,3,360
1212,7,3,361
1213,7,3,362
1214,7,3,363
1215,7,3,364
1216,7,3,365
1217,7,3,366
1218,7,3,367
1219,7,3,368
1220,7,3,369
1221,7,3,370
1222,7,3,371
1223,7,3,372
1224,7,3,373
1225,7,3,374
1226,7,3,375
1227,7,3,376
1228,7,3,377
1229,7,3,378
1230,7,3,379
1231,4,3,220
1232,4,3,221
1233,4,3,222
1234,4,3,223
1235,4,3,224
1236,4,3,225
1237,4,3,226
1238,4,3,227
1239,4,3,228
1240,4,3,229
1241,4,3,230
1242,4,3,231
1243,4,3,232
1244,4,3,233
1245,4,3,234
1246,4,3,235
1247,4,3,236
1248,4,3,237
1249,4,3,238
1250,4,3,239
1251,5,3,220
1252,5,3,221
1253,5,3,222
1254,5,3,223
1255,5,3,224
1256,5,3,225
1257,5,3,226
1258,5,3,227
1259,5,3,228
1260,5,3,229
1261,5,3,230
1262,5,3,231
1263,5,3,232
1264,5,3,233
1265,5,3,234
1266,5,3,235
1267,5,3,236
1268,5,3,237
1269,5,3,238
1270,5,3,239
1271,6,3,220
1272,6,3,221
1273,6,3,222
1274,6,3,223
1275,6,3,224
1276,6,3,225
1277,6,3,226
1278,6,3,227
1279,6,3,228
1280,6,3,229
1281,6,3,230
1282,6,3,231
1283,6,3,232
1284,6,3,233
1285,6,3,234
1286,6,3,235
1287,6,3,236
1288,6,3,237
1289,6,3,238
1290,6,3,239
1291,7,3,380
1292,7,3,381
1293,7,3,382
1294,7,3,383
1295,7,3,384
1296,7,3,385
1297,7,3,386
1298,7,3,387
1299,7,3,388
1300,7,3,389
1301,7,3,390
1302,7,3,391
1303,7,3,392
1304,7,3,393
1305,7,3,394
1306,7,3,395
1307,7,3,396
1308,7,3,397
1309,7,3,398
1310,7,3,399
1311,4,3,240
1312,4,3,241
1313,4,3,242
1314,4,3,243
1315,4,3,244
1316,4,3,245
1317,4,3,246
1318,4,3,247
1319,4,3,248
1320,4,3,249
1321,4,3,250
1322,4,3,251
1323,4,3,252
1324,4,3,253
1325,4,3,254
1326,4,3,255
1327,4,3,256
1328,4,3,257
1329,4,3,258
1330,4,3,259
1331,5,3,240
1332,5,3,241
1333,5,3,242
1334,5,3,243
1335,5,3,244
1336,5,3,245
1337,5,3,246
1338,5,3,247
1339,5,3,248
1340,5,3,249
1341,5,3,250
1342,5,3,251
1343,5,3,252
1344,5,3,253
1345,5,3,254
1346,5,3,255
1347,5,3,256
1348,5,3,257
1349,5,3,258
1350,5,3,259
1351,6,3,240
1352,6,3,241
1353,6,3,242
1354,6,3,243
1355,6,3,244
1356,6,3,245
1357,6,3,246
1358,6,3,247
1359,6,3,248
1360,6,3,249
1361,6,3,250
1362,6,3,251
1363,6,3,252
1364,6,3,253
1365,6,3,254
1366,6,3,255
1367,6,3,256
1368,6,3,257
1369,6,3,258
1370,6,3,259
1371,7,3,400
1372,7,3,401
1373,7,3,402
1374,7,3,403
1375,7,3,404
1376,7,3,405
1377,7,3,406
1378,7,3,407
1379,7,3,408
1380,7,3,409
1381,7,3,410
1382,7,3,411
1383,7,3,412
1384,7,3,413
1385,7,3,414
1386,7,3,415
1387,7,3,416
1388,7,3,417
1389,7,3,418
1390,7,3,419
1391,4,3,260
1392,4,3,261
1393,4,3,262
1394,4,3,263
1395,4,3,264
1396,4,3,265
1397,4,3,266
1398,4,3,267
1399,4,3,268
1400,4,3,269
1401,4,3,270
1402,4,3,271
1403,4,3,272
1404,4,3,273
1405,4,3,274
1406,4,3,275
1407,4,3,276
1408,4,3,277
1409,4,3,278
1410,4,3,279
1411,5,3,260
1412,5,3,261
1413,5,3,262
1414,5,3,263
1415,5,3,264
1416,5,3,265
1417,5,3,266
1418,5,3,267
1419,5,3,268
1420,5,3,269
1421,5,3,270
1422,5,3,271
1423,5,3,272
1424,5,3,273
1425,5,3,274
1426,5,3,275
1427,5,3,276
1428,5,3,277
1429,5,3,278
1430,5,3,279
1431,6,3,260
1432,6,3,261
1433,6,3,262
1434,6,3,263
1435,6,3,264
1436,6,3,265
1437,6,3,266
1438,6,3,267
1439,6,3,268
1440,6,3,269
1441,6,3,270
1442,6,3,271
1443,6,3,272
1444,6,3,273
1445,6,3,274
1446,6,3,275
1447,6,3,276
1448,6,3,277
1449,6,3,278
1450,6,3,279
1451,7,3,420
1452,7,3,421
1453,7,3,422
1454,7,3,423
1455,7,3,424
1456,7,3,425
1457,7,3,426
1458,7,3,427
1459,7,3,428
1460,7,3,429
1461,7,3,430
1462,7,3,431
1463,7,3,432
1464,7,3,433
1465,7,3,434
1466,7,3,435
1467,7,3,436
