ticks,pid,priority,pticks
16,3,1,3
17,3,1,4
18,3,2,0
19,3,2,1
20,3,2,2
21,3,2,3
22,3,2,4
23,3,2,5
24,3,2,6
25,3,2,7
26,3,2,8
27,3,2,9
28,3,3,0
29,3,3,1
30,3,3,2
31,3,3,3
32,3,3,4
33,3,3,5
34,3,3,6
35,3,3,7
36,3,3,8
37,3,3,9
38,3,3,10
39,3,3,11
40,3,3,12
41,3,3,13
42,3,3,14
43,3,3,15
44,3,3,16
45,3,3,17
46,3,3,18
47,3,3,19
48,3,3,20
49,3,3,21
50,3,3,22
51,3,3,23
52,3,3,24
53,3,3,25
54,3,3,26
55,3,3,27
56,3,3,28
57,3,3,29
58,3,3,30
59,3,3,31
60,3,3,32
61,3,3,33
62,3,3,34
63,3,3,35
64,3,3,36
65,3,3,37
66,3,3,38
67,3,3,39
68,3,3,40
69,3,3,41
70,3,3,42
71,3,3,43
72,3,3,44
73,3,3,45
74,3,3,46
75,3,3,47
76,3,3,48
77,3,3,49
78,3,3,50
79,3,3,51
80,3,3,52
81,3,3,53
82,3,3,54
83,3,3,55
84,3,3,56
85,3,3,57
86,3,3,58
87,3,3,59
88,3,3,60
89,3,3,61
90,3,3,62
91,3,3,63
92,3,3,64
93,3,3,65
94,3,3,66
95,3,3,67
96,3,3,68
97,3,3,69
98,3,3,70
99,3,3,71
100,3,3,72
101,3,3,73
102,3,3,74
103,3,3,75
104,3,3,76
105,3,3,77
106,3,3,78
107,3,3,79
108,3,3,80
109,3,3,81
110,3,3,82
111,4,0,0
112,4,0,1
113,4,0,2
114,4,0,3
115,4,0,4
116,5,0,0
117,4,1,0
118,5,0,1
119,4,1,1
120,5,0,2
121,4,1,2
122,5,0,3
123,4,1,3
124,5,0,4
125,4,1,4
126,6,0,0
127,5,1,0
128,6,0,1
129,4,2,0
130,5,1,1
131,6,0,2
132,4,2,1
133,5,1,2
134,6,0,3
135,4,2,2
136,5,1,3
137,6,0,4
138,4,2,3
139,5,1,4
140,7,0,0
141,4,2,4
142,6,1,0
143,7,0,1
144,4,2,5
145,5,2,0
146,6,1,1
147,7,0,2
148,4,2,6
149,5,2,1
150,6,1,2
151,7,0,3
152,4,2,7
153,5,2,2
154,6,1,3
155,7,0,4
156,4,2,8
157,5,2,3
158,6,1,4
159,8,0,0
160,4,2,9
161,5,2,4
162,7,1,0
163,8,0,1
164,5,2,5
165,6,2,0
166,7,1,1
167,8,0,2
168,5,2,6
169,6,2,1
170,7,1,2
171,8,0,3
172,5,2,7
173,6,2,2
174,7,1,3
175,8,0,4
176,5,2,8
177,6,2,3
178,7,1,4
179,9,0,0
180,5,2,9
181,6,2,4
182,8,1,0
183,9,0,1
184,6,2,5
185,7,2,0
186,8,1,1
187,9,0,2
188,6,2,6
189,7,2,1
190,8,1,2
191,9,0,3
192,6,2,7
193,7,2,2
194,8,1,3
195,9,0,4
196,6,2,8
197,7,2,3
198,8,1,4
199,10,0,0
200,6,2,9
201,7,2,4
202,9,1,0
203,10,0,1
204,7,2,5
205,8,2,0
206,9,1,1
207,10,0,2
208,7,2,6
209,8,2,1
210,9,1,2
211,10,0,3
212,7,2,7
213,8,2,2
214,9,1,3
215,10,0,4
216,7,2,8
217,8,2,3
218,9,1,4
219,7,2,9
220,8,2,4
221,10,1,0
222,4,3,0
223,8,2,5
224,9,2,0
225,10,1,1
226,4,3,1
227,8,2,6
228,9,2,1
229,10,1,2
230,4,3,2
231,8,2,7
232,9,2,2
233,10,1,3
234,4,3,3
235,8,2,8
236,9,2,3
237,10,1,4
238,4,3,4
239,8,2,9
240,9,2,4
241,4,3,5
242,9,2,5
243,10,2,0
244,4,3,6
245,9,2,6
246,10,2,1
247,4,3,7
248,9,2,7
249,10,2,2
250,4,3,8
251,9,2,8
252,10,2,3
253,4,3,9
254,9,2,9
255,10,2,4
256,4,3,10
257,10,2,5
258,4,3,11
259,10,2,6
260,4,3,12
261,10,2,7
262,4,3,13
263,10,2,8
264,4,3,14
265,10,2,9
266,4,3,15
267,4,3,16
268,4,3,17
269,4,3,18
270,4,3,19
271,5,3,0
272,5,3,1
273,5,3,2
274,5,3,3
275,5,3,4
276,5,3,5
277,6,3,0
278,6,3,1
279,6,3,2
280,6,3,3
281,6,3,4
282,6,3,5
283,6,3,6
284,6,3,7
285,6,3,8
286,6,3,9
287,6,3,10
288,6,3,11
289,6,3,12
290,10,3,0
291,10,3,1
292,10,3,2
293,10,3,3
294,10,3,4
295,10,3,5
296,10,3,6
297,10,3,7
298,10,3,8
299,10,3,9
300,10,3,10
301,10,3,11
302,10,3,12
303,6,3,13
304,6,3,14
305,6,3,15
306,6,3,16
307,6,3,17
308,6,3,18
309,6,3,19
310,7,3,0
311,7,3,1
312,7,3,2
313,7,3,3
314,7,3,4
315,7,3,5
316,7,3,6
317,5,3,6
318,5,3,7
319,5,3,8
320,5,3,9
321,5,3,10
322,5,3,11
323,5,3,12
324,5,3,13
325,5,3,14
326,5,3,15
327,5,3,16
328,5,3,17
329,5,3,18
330,9,3,0
331,9,3,1
332,9,3,2
333,9,3,3
334,9,3,4
335,9,3,5
336,9,3,6
337,9,3,7
338,9,3,8
339,9,3,9
340,9,3,10
341,9,3,11
342,9,3,12
343,5,3,19
344,6,3,20
345,6,3,21
346,6,3,22
347,6,3,23
348,6,3,24
349,6,3,25
350,6,3,26
351,6,3,27
352,6,3,28
353,6,3,29
354,6,3,30
355,6,3,31
356,6,3,32
357,10,3,13
358,10,3,14
359,10,3,15
360,10,3,16
361,10,3,17
362,10,3,18
363,10,3,19
364,6,3,33
365,6,3,34
366,6,3,35
367,6,3,36
368,6,3,37
369,6,3,38
370,6,3,39
371,7,3,7
372,7,3,8
373,7,3,9
374,7,3,10
375,7,3,11
376,7,3,12
377,7,3,13
378,5,3,20
379,5,3,21
380,5,3,22
381,5,3,23
382,5,3,24
383,5,3,25
384,5,3,26
385,5,3,27
386,5,3,28
387,5,3,29
388,5,3,30
389,5,3,31
390,5,3,32
391,9,3,13
392,9,3,14
393,9,3,15
394,9,3,16
395,9,3,17
396,9,3,18
397,9,3,19
398,10,3,20
399,10,3,21
400,10,3,22
401,10,3,23
402,4,2,10
403,8,2,10
404,4,2,11
405,8,2,11
406,4,2,12
407,8,2,12
408,4,2,13
409,8,2,13
410,4,2,14
411,8,2,14
412,4,2,15
413,8,2,15
414,4,2,16
415,8,2,16
416,4,2,17
417,8,2,17
418,4,2,18
419,8,2,18
420,4,2,19
421,8,2,19
422,10,3,24
423,10,3,25
424,10,3,26
425,10,3,27
426,10,3,28
427,10,3,29
428,10,3,30
429,10,3,31
430,10,3,32
431,10,3,33
432,10,3,34
433,10,3,35
434,10,3,36
435,6,3,40
436,6,3,41
437,6,3,42
438,6,3,43
439,6,3,44
440,6,3,45
441,6,3,46
442,6,3,47
443,6,3,48
444,6,3,49
445,6,3,50
446,6,3,51
447,6,3,52
448,10,3,37
449,10,3,38
450,10,3,39
451,10,3,40
452,10,3,41
453,10,3,42
454,10,3,43
455,10,3,44
456,10,3,45
457,10,3,46
458,10,3,47
459,10,3,48
460,10,3,49
461,10,3,50
462,10,3,51
463,10,3,52
464,6,3,53
465,6,3,54
466,6,3,55
467,6,3,56
468,6,3,57
469,6,3,58
470,6,3,59
471,7,3,14
472,7,3,15
473,7,3,16
474,7,3,17
475,7,3,18
476,7,3,19
477,8,3,0
478,8,3,1
479,4,3,20
480,4,3,21
481,4,3,22
482,4,3,23
483,4,3,24
484,4,3,25
485,4,3,26
486,4,3,27
487,4,3,28
488,4,3,29
489,4,3,30
490,4,3,31
491,4,3,32
492,8,3,2
493,8,3,3
494,8,3,4
495,8,3,5
496,8,3,6
497,8,3,7
498,8,3,8
499,8,3,9
500,8,3,10
501,8,3,11
502,9,2,10
503,10,3,53
504,5,2,10
505,9,2,11
506,10,3,54
507,5,2,11
508,9,2,12
509,10,3,55
510,5,2,12
511,9,2,13
512,10,3,56
513,5,2,13
514,9,2,14
515,10,3,57
516,5,2,14
517,9,2,15
518,10,3,58
519,5,2,15
520,9,2,16
521,10,3,59
522,5,2,16
523,9,2,17
524,5,2,17
525,9,2,18
526,5,2,18
527,9,2,19
528,5,2,19
529,6,3,60
530,6,3,61
531,6,3,62
532,6,3,63
533,6,3,64
534,6,3,65
535,6,3,66
536,6,3,67
537,6,3,68
538,6,3,69
539,6,3,70
540,6,3,71
541,6,3,72
542,6,3,73
543,8,3,12
544,8,3,13
545,8,3,14
546,8,3,15
547,8,3,16
548,8,3,17
549,8,3,18
550,8,3,19
551,9,3,20
552,9,3,21
553,9,3,22
554,9,3,23
555,9,3,24
556,9,3,25
557,9,3,26
558,9,3,27
559,4,3,33
560,4,3,34
561,4,3,35
562,4,3,36
563,4,3,37
564,4,3,38
565,4,3,39
566,5,3,33
567,5,3,34
568,5,3,35
569,5,3,36
570,5,3,37
571,5,3,38
572,5,3,39
573,10,3,60
574,10,3,61
575,10,3,62
576,10,3,63
577,10,3,64
578,10,3,65
579,10,3,66
580,10,3,67
581,10,3,68
582,10,3,69
583,10,3,70
584,10,3,71
585,10,3,72
586,10,3,73
587,5,3,40
588,5,3,41
589,5,3,42
590,5,3,43
591,5,3,44
592,5,3,45
593,5,3,46
594,5,3,47
595,5,3,48
596,5,3,49
597,5,3,50
598,5,3,51
599,5,3,52
600,5,3,53
601,5,3,54
602,7,2,10
603,7,2,11
604,7,2,12
605,7,2,13
606,8,3,20
607,7,2,14
608,8,3,21
609,7,2,15
610,8,3,22
611,7,2,16
612,8,3,23
613,7,2,17
614,8,3,24
615,7,2,18
616,8,3,25
617,7,2,19
618,8,3,26
619,8,3,27
620,8,3,28
621,8,3,29
622,8,3,30
623,8,3,31
624,8,3,32
625,9,3,28
626,9,3,29
627,9,3,30
628,9,3,31
629,9,3,32
630,9,3,33
631,9,3,34
632,9,3,35
633,9,3,36
634,9,3,37
635,9,3,38
636,9,3,39
637,8,3,33
638,8,3,34
639,8,3,35
640,8,3,36
641,8,3,37
642,8,3,38
643,8,3,39
644,9,3,40
645,9,3,41
646,9,3,42
647,9,3,43
648,9,3,44
649,9,3,45
650,9,3,46
651,9,3,47
652,9,3,48
653,4,3,40
654,4,3,41
655,4,3,42
656,4,3,43
657,4,3,44
658,4,3,45
659,4,3,46
660,4,3,47
661,4,3,48
662,4,3,49
663,4,3,50
664,4,3,51
665,4,3,52
666,4,3,53
667,4,3,54
668,8,3,40
669,8,3,41
670,8,3,42
671,8,3,43
672,8,3,44
673,8,3,45
674,8,3,46
675,8,3,47
676,8,3,48
677,8,3,49
678,8,3,50
679,8,3,51
680,8,3,52
681,8,3,53
682,8,3,54
683,7,3,20
684,7,3,21
685,7,3,22
686,7,3,23
687,7,3,24
688,7,3,25
689,7,3,26
690,7,3,27
691,7,3,28
692,7,3,29
693,7,3,30
694,7,3,31
695,7,3,32
696,7,3,33
697,7,3,34
698,9,3,49
699,9,3,50
700,9,3,51
701,9,3,52
702,9,3,53
703,9,3,54
704,9,3,55
705,9,3,56
706,9,3,57
707,9,3,58
708,9,3,59
709,9,3,60
710,9,3,61
711,9,3,62
712,4,3,55
713,4,3,56
714,4,3,57
715,4,3,58
716,4,3,59
717,5,3,55
718,5,3,56
719,5,3,57
720,5,3,58
721,5,3,59
722,7,3,35
723,7,3,36
724,7,3,37
725,7,3,38
726,7,3,39
727,8,3,55
728,8,3,56
729,8,3,57
730,8,3,58
731,8,3,59
732,7,3,40
733,7,3,41
734,7,3,42
735,7,3,43
736,7,3,44
737,7,3,45
738,7,3,46
739,7,3,47
740,7,3,48
741,7,3,49
742,7,3,50
743,7,3,51
744,7,3,52
745,7,3,53
746,7,3,54
747,7,3,55
748,7,3,56
749,4,3,60
750,4,3,61
751,4,3,62
752,4,3,63
753,4,3,64
754,3,3,136
755,8,3,60
756,8,3,61
757,8,3,62
758,8,3,63
759,8,3,64
760,5,3,60
761,5,3,61
762,5,3,62
763,5,3,63
764,5,3,64
765,7,3,57
766,7,3,58
767,7,3,59
768,7,3,60
769,7,3,61
770,7,3,62
771,7,3,63
772,7,3,64
